post,label
Wisconsins technical college graduates have a higher employment rate and starting salaries than four-year college graduates nationwide.,Deception
"A Muslim immigrant in Michigan can list his second, third or fourth wives as extended family and qualify for welfare.",Deception
"Daraprim is still underpriced, relative to its peers.",Deception
"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",Deception
Our numbers are going up at the airport.,Deception
I always supported civil unions.,Deception
"Says Jeb Bush and Marco Rubio had it set so that the winner takes everything, because they wanted to make sure that I didnt get anything in the Florida primary.",Deception
There is long historical precedent for a Supreme Court with fewer justices.,Deception
"A study showed that President Barack Obamas health-care reforms will devastate Wisconsin by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.",Deception
"The CBOs latest report confirms what Republicans have been saying for years now. Under Obamacare, millions of hardworking Americans will lose their jobs.",Deception
"Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. Its true. I get far bigger crowds.",Deception
Decriminalizing marijuana will save the state anywhere from $4 (million) to $11 million dollars.,Deception
Says U.S. Rep. Charles Bass wants to privatize Social Security.,Deception
Bob Menendez actually voted in favor of higher taxes more than 70 times!,Deception
The families that are covered through the Low Income Pool is a different group of individuals than are covered by Obamacare.,Deception
Bill White spent his city billions of dollars into debt (and) saw crime rates soar while he backed gun control.,Deception
Says President Barack Obamas overturning of the Mexico City Policy means federal tax dollars can be used to fund abortion all over the world.,Deception
Says Mary Landrieu voted to fund benefits for illegal immigrants ahead of veterans.,Deception
Obama will charge a 28 percent tax on all home sales.,Deception
Obama nominee Dawn Johnsen called motherhood 'involuntary servitude.',Deception
Says U.S. Sen. Ron Johnson voted to cut $700m from Medicare.,Deception
"I supported (the surge), I argued for it. I'm the only one on this stage that did.",Deception
"The federal government is going after school districts, trying to force them to let boys shower with little girls.",Deception
"Says its not possible for some Wisconsin residents to watch Packers games, theyre forced to watch Viking games, so he got a law passed to fix the problem.",Deception
An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,Deception
The Wisconsin Economic Development Corp. cannot account for creating one single job.,Deception
"When it comes to urgency on passing a budget repair bill, theres no rush on this thing because the fiscal year doesnt end until June 30, 2011.",Deception
Says abortion increases the risk of breast cancer.,Deception
Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.,Deception
"Boyce gave (a lobbyists) wife a sensitive job in the treasurers office, a job Boyce admitted he only made available at their mosque.",Deception
High-speed rail would have cost Florida taxpayers $1 billion to build.,Deception
"The photonics bill that was sponsored in Congress and written, was written by Congressman Tom Reed, not Congresswoman Louise Slaughter.",Deception
"It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.",Deception
On receiving campaign contributions from out-of-state donors,Deception
The United States regulations are among the most difficult in the world.,Deception
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlaiss (TN-04) Republican Majority.,Deception
"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",Deception
You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,Deception
"The Consumer Financial Protection Bureau passed a rule giving the agency unprecedented power to shut down businesses, no matter what the reason, at any time it wishes.",Deception
"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",Deception
Says Jonathan Gruber was some adviser who never worked on our staff.,Deception
Ive supported every investigation (into Hurricane Katrina) and ways of finding out how what caused the tragedy. Ive met with people on the ground. Ive met with the governor.,Deception
"Says in the 2012 State of the Union address, President Obama didnt even mention the deficit or debt.",Deception
Medicare is going broke. The trust fund goes bankrupt in 2026.,Deception
Women pay 48 percent more for health insurance.,Deception
"Says when Rhode Island Lottery was proposed, state residents were enticed to vote for it with the promise that the money would be used for education.",Deception
"The ammunition used in the Orlando shooting is banned by Geneva Convention. It enters the body, spins explodes.",Deception
"Says unemployment in Trenton is twice as much as what we see in every other area of the state and, as a result, we have seen an increase in crime.",Deception
I never supported a state income tax for Texas.,Deception
The [Georgia] General Assembly took away the Atlanta Board of Educations oversight of the superintendent.,Deception
Says states not directly involved in the gay marriage lawsuits that reached the Supreme Court are not bound by the courts ruling.,Deception
We were the last flag flying in Benghazi.,Deception
Says his much-discussed boots are made in Wisconsin.,Deception
"The Senate immigration bill has immediate legalization ... and the border security is sometime in the future, and just like in 1986, its designed never to come into being.",Deception
"Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.",Deception
"The U.S. government spends less on energy innovation ""than the pet food industry invests in its own products.""",Deception
"Another one he should veto is the SCHIP program, which he should say 'Take the C out of, because now it's for everybody, like every other entitlement program.'",Deception
"Under current U.S. immigration policy, literally one person with a green card can, in the extreme, bring in more than 270 of his relatives.",Deception
Reporters have uncovered another Scott company accused of criminal acts. But Scott wont come clean.,Deception
We have spent $350 million to deal with sea-level rise in the Miami area and hundreds of millions of dollars to deal with coral reefs.,Deception
"Says over the last two years, New Jersey Schools Development Authority employees have not started or completed one single school project, and Im not talking about major school renovation. Im talking about replacing boilers, roofs.",Deception
Says she is a registered nurse.,Deception
Says George Norcross said the TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.,Deception
"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.",Deception
I kicked crooked cops and government officials off the public pension rolls.,Deception
Who can you thank for rising prices at the pump O-ba-ma! O-ba-ma!,Deception
New Jersey taxpayers will now face the highest tolls in the country.,Deception
"Says the jurisdictions with the strictest gun control laws, almost without exception have the highest crime rates and the highest murder rates.",Deception
"Says that under Texas law, it takes six years to close a failing school.",Deception
"Barack Obama ""pays for every dime"" of his spending plans.",Deception
After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.,Deception
The federal government now tells us which light bulbs to buy.,Deception
We have the lowest beer tax in the nation.,Deception
"When White House communications director Anita Dunn said that Mao Tse-tung was one of her favorite philosophers, only Fox News picked that up.",Deception
Says Gov. Scott Walker has dropped Wisconsin to 45th in the nation in job growth prospects while campaigning for president out of state.,Deception
Says PolitiFact issued a True ruling on Paul Krugman calling Governor Christie a fiscal phony.,Deception
Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was no longer under the command of someone weak.,Deception
"A Georgia religious freedom bill would help Catholic institutions that, under Obamacare, could be forced to provide abortion-inducing drugs.",Deception
The United States stood alone in the war in Iraq.,Deception
Austin politicians want to cram more kids into classrooms so they dont have to make the tough decisions to balance the budget.,Deception
"Says every day of a special session costs taxpayers $40,000.",Deception
A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,Deception
The only reason the unemployment rate is going down is because twice as many people dropped out of the employment pool as the number of jobs were created.,Deception
Says John Cornyn dodged the draft during the Vietnam War.,Deception
"Toledo is fourth in the nation behind much bigger cities Miami, Las Vegas, Portland in number of human trafficking arrests and rescues.",Deception
Eric Holder is supportive of the NAACPs efforts to get the United Nations involved in our elections.,Deception
Leticia Van de Putte voted to give illegal immigrants in this country free health care--not emergency health care but total free health care.,Deception
Damage by protesters to the Wisconsin state Capitol will cost $7.5 million to repair.,Deception
"If people work and make more money, they lose more in benefits than they would earn in salary.",Deception
"In a watershed 1958 decision, the Warren court asserted by itself that the Supreme Court was supreme over the president and the Congress.",Deception
Says David Jolly lobbied for government-run health care just last year.,Deception
"Most of West Virginia is still owned, in excess of 90 percent, by out-of-state interests.",Deception
The Massachusetts health care plan is wildly unpopular among state residents.,Deception
Rick Scott vetoed funding for 30 Florida rape crisis centers. Scott said the centers werent needed.,Deception
My opponent supported policies that increased tuition by 18 percent.,Deception
President Barack Obamas latest executive order mandates the apprehension and detention of Americans who merely show signs of respiratory illness.,Deception
"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",Deception
"Californias marijuana legalization initiative, Prop. 64 allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.",Deception
Virginia is the No. 1 recipient of federal dollars.,Deception
"The U.S. deficit ""increases at $3 million per second.""",Deception
"President Barack Obama is the first president to keep a dog-trainer on retainer for $102,000 a year at taxpayer expense.",Deception
"Out of 67 counties (in Florida), I won 66, which is unprecedented. Its never happened before.",Deception
"Under the Affordable Care Act, anyone on Medicare who is admitted to a hospital for observation will be responsible for the bill. Medicare wont pay a cent.",Deception
"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",Deception
"In Rhode Island, there were thousands of jobs that were created by the federal stimulus program",Deception
"The U.S. wont default, because default means that you dont pay your creditors. And it takes about 10 percent of the money thats coming in right now to pay interest to bondholders.",Deception
"Senate health care legislation will ""levy a new 'abortion premium' fee on Americans in the government-run plan.""",Deception
Says President Barack Obama has said that everybody should hate the police.,Deception
The Southern Baptist Convention voted 13 years ago that women were inferior and had to be subservient to their husbands.,Deception
"In eighth grade math, weve fallen to ninth place.",Deception
"Edwards says if Congress won't pass universal health care, he'll tell Congress: ""I'm going to use my power as president to take your health care away from you.""",Deception
"People in the top tax bracket, these so-called wealthy, most of them are small-business owners.",Deception
Barack Obama and Hillary Clinton have left us with $19 trillion in debt.,Deception
The IRS scandal clearly showed some criminal behavior.,Deception
"The IRS is already planning on 19,500 new employees to administer Obamas health care mandate.",Deception
"Says Barack Obama endorsed a total ban on the manufacture, sale and possession of all handguns.",Deception
"Under the House health care bill, the government ""will have to penalize citizens if we choose not to buy a plan that will cost a minimum of about $15,000 per family per year.""",Deception
On support of Gov. John Kasichs drilling tax plan,Deception
"Says that in the Philippines more than a century ago, Gen. John Pershing took 50 bullets, and he dipped them in pigs blood, and shot 49 Muslim rebels. The 50th person, he said, You go back to your people, and you tell them what happened. And for 25 years, there wasnt a problem.",Deception
Says GM used taxpayer dollars to prop up operations in China.,Deception
Planned Parenthood is not actually doing womens health issues.,Deception
"On support for Trade Promotion Authority, calledfast-track",Deception
Say Michelle Obama mandates weighing children in day care.,Deception
"The insurance companies are making that choice (to cancel or change policies), not the president.",Deception
"Throughout, we have kept Congress fully informed of our efforts to create a legal framework on counterterrorism.",Deception
A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,Deception
"If Barack Obama would apply for a job with the FBI or with the Secret Service, he would be disqualified because of his past associations with William Ayers.",Deception
Mitt Romney did not run his campaign on the basis of arguing his experience in the business world was a reason to vote for him.,Deception
Says the congressional ethics investigation against him was conducted by a very partisan political committee in a way that related more to the politics of the Democratic Party than to ethics.,Deception
Super Bowl L by everybodys estimation is a $500 million economic impact to the state of Florida.,Deception
On Iran sanctions,Deception
"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",Deception
"Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.",Deception
Stimulus dollars paid for windmills from China.,Deception
"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.",Deception
We have less Americans working now than in the 70s.,Deception
We've excluded lobbyists from policymaking jobs.,Deception
"When I left Washington, we had a $5 trillion surplus.",Deception
The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.,Deception
"Barack Obama has ""pledged to reduce the size of the military.""",Deception
"Says President Barack Obama got a pass over controversalremarks byRev. Jeremiah Wright, while a12-year-old speech by House Majority Whip Steve Scalise hasblown up into a national story.",Deception
DNC chair Debbie Wasserman Schultz denied unemployment went up under Obama.,Deception
Tim Kaine urged$500 billion in Medicare cuts.,Deception
"In Wisconsin, the stimulus paid for a bridge to a bar called Rusty's Backwater Saloon. They've got great burgers, but no new jobs.",Deception
"Rick Scotts prison plan would cut Floridas prison budget in half, close prisons, and release tens of thousands of prisoners early -- murderers, rapists, sex offenders, armed robbers, drug dealers.",Deception
"The number of illegal immigrants in the United States is 30 million, it could be 34 million.",Deception
"Says Rep. Charles Bass supports privatizing Social Security, risking trillions more on Wall Street.",Deception
The Fed created $15 trillion in the bailout process and $5 trillion went overseas.,Deception
Says President Barack Obamas own economists say the stimulus cost $278K per job created.,Deception
Says he did not say Republicans would filibuster immigration reform.,Deception
The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.,Deception
"In countries that allow gay marriage, the rates of heterosexual marriage ""have plummeted to where you have counties now in northern Europe where 80 percent of the first-born children are born out of wedlock.""",Deception
"Says Cape May, Cumberland, Salem and part of Atlantic counties are all south of the Mason-Dixon line.",Deception
A recent study of a proposed cap-and-trade policys effect on Wisconsin consumers showed it could raise gasoline prices by 141 percent and electricity rates by 171 percent by 2030.,Deception
"Rob Portman shares radical, ideological views toward women.",Deception
Says Democratic legislators this year dont want to cut your taxes under any circumstances.,Deception
"Late changes to the Arizona immigration law ""lay to rest questions over the possibility of racial profiling.""",Deception
Says Barack Obama is a Muslim.,Deception
Illegal immigration costs our country more than $113 billion a year.,Deception
"Says Sen. Robert Cowles, her recall opponent, supported the sale of state-owned power plants not to the highest bidder, but to the biggest donors with no oversight.",Deception
Our recent state budgets have far exceeded population and inflation growth.,Deception
The (health care) law does not demand that all of these cancellations go out.,Deception
Barack Obama is the First President to terminate Americas ability to put a man in space.,Deception
Women account for 92.3 percent of the jobs lost under Obama.,Deception
I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.,Deception
"Ezekiel Emanuel, one of President Obama's key health care advisers, says medical care should be reserved for the nondisabled. So watch out if you're disabled.",Deception
"Obama said that ""since 1992, the Republicans have had all the good ideas...""",Deception
"The brutal fact is, when it comes to education, America is slipping behind other nations.",Deception
Students at the University of Texas in Austin have been advised not to wear cowboy boots or cowboy hats on Halloween.,Deception
The Medicaid expansion is going to cost Florida $1.9 billion a year.,Deception
No one claims the report vindicating New Jersey Gov. Chris Christie in the bridge scandal is conclusive.,Deception
Michelle Nunn has praised the Occupy movement.,Deception
"The financial services bill will end ""too-big-to-fail.""",Deception
"I was fighting against those (Republican) ideas when you were practicing law and representing your contributor, Rezko, in his slum landlord business in inner city Chicago.",Deception
CNNs Crap Polling is so bad that it shows that no one under the age of 50 has an opinion of Hillary Clinton.,Deception
Barack Obama has the longest track record of any candidate in this election in support of the 'Bridge To Nowhere.' ,Deception
Obama's Ten Point Plan to 'Change' the Second AmendmentBan use of firearms for home defense.,Deception
President Barack Obama spent $5 billion paying Ukrainians to riot and dismantle their democratically elected government.,Deception
"In Florida alone, more than $3.5 billion a year is spent on health care and criminal justice for illegal immigrants.",Deception
Rhode Island is one of the worst states for income equality.,Deception
Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,Deception
"Recently, Florida has successfully reduced the environmental permitting time down to just two days.",Deception
"When Peppers tax was finally voted down, Pepper laid off cops and closed jails and let criminals run free in the streets.",Deception
Rosalyn Dance voted against President Obamas Medicaid expansion.,Deception
CNN did a poll recently where Obama and I are statistically tied.,Deception
Clinton's former pastor convicted of child molestation.,Deception
On expanding Medicaid as part of the health care law,Deception
"When you add a dollar value to mandates, government took almost 50 percent of the American peoples money.",Deception
"The reality is, with a $2 trillion-a-year health care budget, we're spending more on health care, nearly 17 percent of our gross domestic product, versus 3.8 percent of GDP on the entire military budget.",Deception
"Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia.",Deception
"Now in half the homes in California, people speak a language other than English in their own homes.",Deception
No one on my staff has ever been charged with a crime.,Deception
Says Dan Sullivan approved a light sentence for a sex offenderwho got out of prison andis now charged with a gruesome murder and sexual assault.,Deception
A socially conservative group sponsored a prayer vigil to stop people from buying Girl Scout cookies because it thinks the Girl Scouts are affiliated with Planned Parenthood.,Deception
We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.,Deception
Every person on death row was a foster kid.,Deception
On birthright citizenship for illegal immigrants.,Deception
The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,Deception
There is no good data showing secondhand smoke kills people.,Deception
Says his parents came to America following Fidel Castros takeover of Cuba.,Deception
The president is brain-dead.,Deception
Says the public option considered in the health care law backed by U.S. Senate candidate Tammy Baldwin was wildly unpopular.,Deception
"Ohios credit rating is as high as you can get, AA+.",Deception
Increasing the bottle deposit to 10 cents on a case of water bottles could literally double the price of that product in the store.,Deception
The state GOP ticket says their top priority is a career-long mission to outlaw abortion in all cases and ban some common forms of birth control.,Deception
