post,label
Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,Truth
My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.,Truth
Candidates for governor routinely disclose their spouses tax returns.,Truth
"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest.",Truth
Obamas approval numbers are in the low 40s.,Truth
"[O]ver 200,000 ordinary citizens were given the opportunity to identify projects they preferred.",Truth
I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that.,Truth
Georgia is the second-fastest growing state for international tourists.,Truth
There has been $5 trillion in debt added over the last four years.,Truth
The NCAA will get billions from the mens basketball tournament. Players get a trophy.,Truth
"Were up 123,000 jobs over the last year and three-quarters. Were actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.",Truth
"He's leading by example, refusing contributions from PACs and Washington lobbyists.",Truth
"Says the federal agency in charge of Medicare and Medicaid will disburse $803 billion in benefits this year, making it larger than all but 15 of the worlds economies.",Truth
The budget currently being debated significantly decreases the use of one-time resources.,Truth
"Says the most dangerous time for children is from 3 to 6 p.m., during which time juvenile crime rates triple",Truth
"The IAEA, or the International Atomic Energy Agency, last month said the Iranians are not currently living up to their obligations.",Truth
Central Falls schools are overfunded by state money by as much as $8 million.,Truth
Large majorities of the public oppose major changes to Medicare and favor higher taxes on the wealthy.,Truth
"McCain, ""voted against renewable sources of energy, against biofuels, against solar power, against wind power.... """,Truth
Rep. Frank Wolf voted to allow terror suspects to buy guns.,Truth
The accuracy of the Obama tax calculator,Truth
Says legislation pending in the House would effectively limit or eliminate time-and-a-half for people who work overtime.,Truth
"Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.",Truth
"Eight of the nine justices in the Supreme Court decision (on campaign finance) said that not only is it constitutional for Congress to require disclosure of the special interest money, but they recommend we do it.",Truth
Theres no data that says a gun-free zone has saved lives.,Truth
Obamacare takes $500 billion out of Medicare and funds Obamacare.,Truth
Mitt Romney has proposed cutting his own taxes while raising them on 18 million working families.,Truth
"If you have a union job, youre making on average $950 a week. If you have a non-union job, youre making $750 a week.",Truth
Proposed fees for Rhode Island beaches will still be less than some of the town beaches.,Truth
State revenue projections have missed the mark month after month.,Truth
John McCain stood up to the president and sounded the alarm on global warming ... five years ago.,Truth
More Americans believe the moon landing was fake than believe Obamacare is affordable.,Truth
Mercedes-Benz USA moving its headquarters to Atlanta will create at least 800 jobs.,Truth
"Since the Democrats stimulus went into effect last year, Ohio has lost about 150,000 Jobs.",Truth
Over 40 percent of children born in America are born out of wedlock.,Truth
"The violent crime rate in America is the same as it was in 1968, yet our prison system has grown by over 500 percent.",Truth
Greg Abbott heads up a party whose platform calls for the repeal of the Voting Rights Act.,Truth
"Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together.",Truth
"Ed Gillespies firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.",Truth
The (Ohio) economy is on the mend. It is in better shape than it was when we took office.,Truth
"Obama says his bill ""reduced welfare rolls nearly 80 percent.""",Truth
Says out-of-state abortion clinics have marketed their services to minors in states with parental consent laws.,Truth
The recent process of awarding $3 billion worth of airport vending contracts was the most open and transparent procurement process in the citys history.,Truth
Kathryn Starkey aided and abetted the continued taxation on residents properties over 70 percent of the time by seconding motions and voting to keep the millage rate the same.,Truth
Says John Bolton supported the Iraq War and said last year thatI still think the decision to overthrow Saddam was correct.,Truth
Jeff Greene can buy anything ... he owns two mansions.,Truth
All of Liberia can produce less than one-third as much electricity as the Dallas Cowboys football stadium consumes at peak times.,Truth
"What difference, at this point, does it make I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, Why didnt you just pick up the phone and call the survivors (of the Benghazi attack)",Truth
"In the last 29 months, our economy has produced about 4.5 million private-sector jobs.",Truth
Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,Truth
"The national debt of $16 trillion, is enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.",Truth
The final pitch of Don Larsens perfect game in the 1956 World Series was a foot and half probably high and outside.,Truth
"Says Rick Scott changed his promise from700,000 jobs created on top of what normal growth would be to just 700,000 jobs.",Truth
"We're borrowing money from China and Saudi Arabia ""to finance this war"" in Iraq.",Truth
Says the United States is the Saudi Arabia of coal.,Truth
A provision of the Senate immigration bill would require you to have government permission to get a second job.,Truth
"Says that In 2009, I saved ratepayers around $500 million by persuading the Council to pursue a less expensive compliance mechanism if the City is required to treat Bull Run drinking water.",Truth
"As a result of Roe vs. Wade, Americas maternal mortality rate dropped dramatically.",Truth
Every child in Colorado who has been given medical marijuana for treatment for seizures has had diminished seizure activity.,Truth
Says Texas high school graduation rates are at an all-time highthe third-highest in the nationwhich represents a significant turnaround from just a few short years ago.,Truth
"Deficit spending exploded during the Obama administration to $5.3 trillion over four years, compared to $2 trillion in eight years under President George W. Bush.",Truth
There have been more terrorist attacks on U.S. soil by ... Muslims in Obamas first 18 months in office than in the six years under Bush after he invaded Iraq.,Truth
More people now die in Wisconsin from drug overdoses than car crashes.,Truth
"Under President Barack Obamas leadership, since June 2009, (the auto) industry has added a quarter of a million jobs.",Truth
The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers.,Truth
"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",Truth
[Appalachian Power] wants another 10 percent rate increase. The compensation package for CEO Mike Morris rose 22 percent to $8.7 million in 2010.,Truth
I have filed every disclosure that has ever been required.,Truth
"We admit more than 100,000 lifetime migrants from the Middle East each year.",Truth
The poorest counties in the U.S. are in Appalachia and happen to be more than 90 percent white.,Truth
Georgia had the worst job losses in state history under GOP watch.,Truth
"Under his leadership, more people in Wisconsin have access to health care.",Truth
U.S. Sen. Bill Nelson chose to side with President Obama against the Keystone pipeline,Truth
"Since January 2010, New Jersey has added 103,000 new private sector jobs. The last two years -- 2011 and 2012 -- have been the best two years of private sector job growth since 1999.",Truth
"The majority of my contributions have been from private individuals giving $125 on average, not from PACs, not from groups.",Truth
"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.",Truth
"Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.",Truth
Limberbutt McCubbins (a five-year-old cat) is a candidate in the 2016 presidential election.,Truth
Says that President Obama said in 2008 that his proposed greenhouse gas regulations will bankrupt anyone who wants to build a new coal-fired power plant.,Truth
Georgias high school graduation rate topped 80 percent in 2010.,Truth
Georgia ranks last in job growth.,Truth
Florida is second in the nation in the uninsured.,Truth
We Really Do Have the Highest Corporate Tax Rate in the World.,Truth
Attorney General Roy Cooper refuses to do his job by not defending House Bill 2 in a lawsuit.,Truth
Arizona is spending less on a per-capita basis than every single state in this country in higher education.,Truth
Nearly 60 percent of women who use birth control do so for more than just family planning.,Truth
"Taxes and fees amount to about 20 percent of a typical $300 round-trip domestic ticket. Thats higher than taxes on products like alcohol, tobacco and firearms.",Truth
"For immigrants with visa overstays, we make no effort to hold them accountable to that or uphold the law.",Truth
Nobody in total is proposing cutting anything. Were trying to reduce the rate of growth in government.,Truth
There are more Hoosiers going to work than ever before.,Truth
Says the director of NASA says its main mission is Muslim outreach.,Truth
"We definitely lost way more jobs in Texas this year than we gained we lost 300,000 jobs in Texas alone this year.",Truth
"He voted twice for a budget resolution that increases the taxes on individuals making $42,000 a year.",Truth
"The Wisconsin state Assembly chambers extend to the bathroom and the parlor, and rules allow members to vote for each other if the member is in the chambers.",Truth
"When Carly Fiorina says Hewlett-Packard revenues went up, thats because she bought Compaq. It was a terrible deal.",Truth
"As a former federal prosecutor, I prosecuted over 4,000 cases.",Truth
"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",Truth
Says Marco Rubio has a 98 percent voting record with the Koch brothers.,Truth
Most people in New Hampshire want to raise the minimum wage. (State Rep. Marilinda) Garcia opposes it.,Truth
The National Technical Information Service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches.,Truth
Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that shes a girl.,Truth
Wisconsin still ranks first among the 50 states in manufacturing jobs per capita.,Truth
A cap-and-trade plan promoted by Barack Obama would hit hardest those already struggling to make ends meet.,Truth
"In the Georgia-Russia conflict, we flew a brigade of Georgian soldiers from Iran to Georgia and sent U.S. ships into the Black Sea and provided various kinds of supplies.",Truth
"Even after collective bargaining reforms, most Wisconsin public employees are still paying about 12 to 13 percent of their health insurance premiums, while most state residents who work in the private sector pay 20 to 25 percent.",Truth
"The median income of a middle class family went down $2,100 from 2001 to 2007.",Truth
Says there are concrete examples of University of Texas job applicants or prospective applicants and students as well as invited speakers changing their minds because of handguns being allowed in campus buildings and classrooms.,Truth
Says gas pumps in different parts of Texas are missing state inspection stickers and/or their inspections are out of date--and thats cheating consumers.,Truth
One third of our age group (Millennials) have moved back in with their parents.,Truth
Says 90 percent of Americans and 74 percent of National Rifle Association members support background checks of gun purchasers.,Truth
President Obama has raised taxes 19 times.,Truth
"Sen. Harry Reid voted against declaring English our national language, twice.",Truth
"Under the Endangered Species Act, only 1 percent of the species that have been listed have actually been delisted.",Truth
We spend more on our military than the next eight nations combined.,Truth
Ninety percent of the topsoil has inadequate moisture to grow crops.,Truth
94 percent of winning candidates in 2010 had more money than their opponents.,Truth
"Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.",Truth
Says new Medicare billing guidelines have nine codes for (injuries by) turkeys.,Truth
"You know, when this thing first hit, I signed a declaration of emergency for the six counties that were directly affected, impacted in the Panhandle, then I extended that not long thereafter down into Sarasota County.",Truth
Says Texas is dead last in support for mental health.,Truth
"Says New Jerseys unemployment is significantly lower than it was when I got here. And weve created 50,000 new private sector jobs in the last 20 months after having lost 117,000 in the year before I got here.",Truth
The cost for renovating the headquarters of the U.N. has doubled from the original estimate.,Truth
"If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.",Truth
Says Ron Paul insisted FEMA should be shut down.,Truth
"In ad attacking Rick Scott, says three executives of the Columbia/HCAhospital chain he ran were indicted.",Truth
Jason Carter never passed a bill in his tenure in the state Senate.,Truth
Foreign aid makes up about 1 percent of our entire budget.,Truth
"Says Chris Christie has refused to fund pensions by billions of dollars, and got legislative approval to begin properly funding pensions in 2018.",Truth
North Carolina Republican Senate candidate Thom Tillis would let insurance companies deny coverage for pre-existing conditions.,Truth
Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview.,Truth
There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.,Truth
Says Donald Trump has the gall to say that prisoners of war like John McCain arent heroes.,Truth
Weve got four Supreme Court justices who signed their name to a declaration that Americans have no fundamental right to self-defense.,Truth
Our trade deficit in goods reached nearly $800 billion last year alone.,Truth
The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,Truth
"Last year -- actually, this year in May -- we saw New Jersey Transit fares rise anywhere from 25 percent to 47 percent.",Truth
"If anyone should know irresponsible it should be Senator Buono. Shes the one, her budget left us with a $2 billion budget deficit in fiscal 10 that I had to fix. Her mistakes. And for fiscal year 2011 an $11 billion budget deficit. Her mistakes, along with her partner Jon Corzine.",Truth
Says Studies show the average age of entry into prostitution is 12 to 14 years old.,Truth
"During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.",Truth
"Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.",Truth
"We have a retiree that is collecting a $17,000 paycheck a month . . . tax free.",Truth
It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.,Truth
Says 85 percent of Milwaukee shootings involve people with extensive criminal records shooting other people with extensive criminal records.,Truth
We have a higher rate of tested lead in people in Cleveland than in Flint.,Truth
A bill to eliminate Delta Air Lines jet fuel tax breaks violates federal law and puts the state at risk of losing critical funding from the Federal Aviation Administration.,Truth
"In fact, theres more state funding for education today than any other time.",Truth
"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two.",Truth
"Between 2000 and 2006, health insurance company profits quadrupled.",Truth
"Every dollar we invested in high-quality, early education programs can save more than $7 later on by boosting graduation rates, reducing teen pregnancy, even reducing crime.",Truth
Says opponent Mary Burke says she supports Obamacare unequivocally and wants to expand it.,Truth
I am now the No. 2 member of this House in terms of length of service.,Truth
The federal government is now on track for the second-largest budget deficit in 65 years.,Truth
Two thirds to three quarters of people without [health] insurance in Rhode Island work.,Truth
"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.",Truth
"Gov. Romney was very clear, he would veto the DREAM Act.",Truth
"Every four minutes, another American home or business goes solar.",Truth
"Since President Obama took office, there are over 450,000 more unemployed women.",Truth
Says Rick Scotts per-pupil education spending is about $200 less than what it was under Charlie Crist during the recession.,Truth
"Unlike virtually every other campaign, we dont have a super PAC.",Truth
"Sheldon Whitehouses failure of leadership, the adding of almost $8 trillion in debt in his first full term, is shameful...",Truth
"When Social Security first started, there was 16 workers for every retiree. Today there are three workers for every retiree and soon there will be only two for every retiree.",Truth
"And by the way, when I was governor, I did make the payment into the pension fund.",Truth
99 percent of all new income today (is) going to the top 1 percent.,Truth
"During the George W. Bush period, there were 13 attacks on various embassies and consulates around the world. Sixty people died.",Truth
(George) LeMieux never requested a single earmark and pushed to ban them all.,Truth
The Arizona law basically parrots the federal immigration law.,Truth
Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect.,Truth
(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.,Truth
We lowered the business tax from 4 percent down to 1 percent.,Truth
"By the time(Mitt Romney)left office, Massachusetts was 47th in the nation in job creation.",Truth
Pasco County opened 22 new schools over six years to keep pace with growth in student population and implement the class size amendment.,Truth
"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.",Truth
"Under President Barack Obama,Weve got the lowest labor force participation in over three decades, since 1978.",Truth
Says she stood up to Gov. Scott Walker on tax cuts for wealthy corporations while her congressional opponent voted with Walker.,Truth
"More than half of all black children live in single-parent households, a number that has doubled doubled since we were children.",Truth
"This is the first time in our state, and one of the first times in the country, where benefit reductions . . . has happened to people who are retired.",Truth
We spend more per student than almost any other major country in the world.,Truth
The poverty rates in America today arent much better than when we started the War on Poverty.,Truth
I never had a filibuster-proof Senate.,Truth
Georgia can substantially increase its funding for education by going after $2.5 billion in uncollected taxes.,Truth
Says Lee Fisher wanted a $1.1 billion tax increase which could have driven countless jobs out of state.,Truth
"McCain and Bush are millionaires who are ""for tax cuts for millionaires.""",Truth
There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,Truth
"Americans who get their insurance through the workplace, cost savings could be as much as $3,000 less per employee than if we do nothing.",Truth
"Georgia has more than 700 law enforcement agencies, and fewer than 20 percent of them are state-certified.",Truth
"There are no rules governing the 2016 Republican convention, the rules have not been set.",Truth
"Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.",Truth
"Administrative employees at colleges and universitieshave more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.",Truth
